year,event_detail
2015,"The College Football Playoff National Championship was played for the first time in college football history. A bracket tournament between the top four teams was established before the season and on January 12, 2015, the Ohio State Buckeyes (#4) defeated the Oregon Ducks (#2) in AT&T Stadium 42-20."
2015,"The Houston Astros will wear a commemorative patch in 2015 on their jerseys to commemorate the 50th anniversary of their team name (specifically, the Astros, not including their first name, the Colt .45s)."
2015,"New skippers at the helm in 2015 for the Texas Rangers, the Minnesota Twins, the Tampa Bay Rays, and the Houston Astros. The Rangers Ron Washington and the Rays Joe Maddon retired while the Twins (Ron Gardenhire) and Astros (Bo Porter) fired their previous managers."
2015,"The Minnesota Twins made the only significant uniform change in 2015, removing the pinstripes from their home jerseys and adding gold trim both the Twins name on their jerseys and the Twin Cities logo on their caps."
2015,The St. Louis Cardinals will visit the Chicago Cubs to kick off the 2015 season at the newly refurbished Wrigley Field.
2015,"The Washington Nationals, now celebrating their tenth season in the National League, will wear a commemorative patch in 2015 on their jerseys. The Cubs uniform will also include a patch, but theirs will be worn in honor of the late, great, Mr. Cub (Ernie Banks), who passed away on January 23, 2015."
2015,"New skippers at the helm in 2015 for two National League teams, the Arizona Diamondbacks and Chicago Cubs. Both teams firing their managers in 2014, Kirk Gibson and Rick Renteria respectively, and starting the season with new men at the helm in 2015, Chip Hale and Joe Maddon respectively."
2015,"The newly appointed Commissioner of Baseball, Rob Manfred will be at the helm in 2015, his first regular season as Commissioner of Baseball, succeeding Bud Selig."
2015,"Interleague play remains and each team is scheduled to play 20 interleague games. The matchups for the season will be the AL East vs NL East, AL Central vs NL Central and AL West vs NL West."
2015,"""Another priority for me is to continue to modernize the game (in 2015) without interfering with its history and traditions. Last season's expanded instant replay improved the game's quality and addressed concerns shared by fans and players. We made a dramatic change without altering the game's fundamentals. I look forward to tapping into the power of technology to consider additional advancements that will continue to heighten the excitement of the game, improve the pace of play and attract more young people to the game"" - Commissioner of Baseball Rob Manfred (01/25/2015, 'Commissioner Rob Manfred's letter to fans', Source)"
2015,The American League started in 1901 and you can review every season in their history on our Year by Year baseball history menu.
2015,"Baseball Fever is the ultimate baseball talk forum for serious baseball fans, baseball historians, baseball authors, and hardcore baseball fanatics."
2015,"Where what happened yesterday
is being preserved today."
2016,"The United Kingdom voted in a referendum to leave the European Union, a politico-economic union of twenty-eight member states that are located primarily in Europe."
2016,"The 2016 Summer Olympics, officially known as the Games of the XXXI Olympiad and commonly known as Rio 2016, was a major international multi-sport event held in Rio de Janeiro, Brazil, from August 5th through August 21st, 2016."
2016,"News in the United States was virtually dominated by clashes between the two presidential candidates, Donald Trump and Hillary Clinton."
2016,"New York Yankees rookie sensation Gary Sanchez became; the fastest player in Major League history to reach 11 home runs, doing so in his 23rd career game on August 27, 2016, against the Baltimore Orioles, the first rookie in Major League history to win consecutive Player of the Week awards, and when he hit his 19th home run on September 21, 2016, against the Tampa Bay Rays, he became the quickest player in Major League history to hit 19 home runs, doing so in his 45th game."
2016,"On August 19, 2016, the Baltimore Orioles set a new Major League record by hitting four home runs before recording their first out, in the course of a five run first inning against the Houston Astros."
2016,"The 2016 San Diego Padres became the first team in Major League history to be shut out in three consecutive games to open a season. San Diego lost to Los Angeles by the scores of 15–0 (the largest shutout victory on Opening Day in Major League history.), 3–0 and 7–0, respectively."
2016,"Jake Arrieta (Chicago Cubs) threw his second career no-hitter, destroying the Cincinnati Reds 16–0 on April 21, 2016. Arrieta walked four and struck out six as he became the fourth reigning Cy Young winner (joining Sandy Koufax, Bob Gibson, and Clayton Kershaw), to throw a no-hitter the following season."
2016,"The Atlanta Braves and Miami Marlins played a special neutral-site game at Fort Bragg Stadium, on July 3, 2016, a newly constructed field in Fort Bragg, North Carolina, in observance of the Independence Day long weekend. It was the first professional, regular-season sporting event held on an active military installation."
2016,"New to the rule book in 2016, Rule 6.01(j), which created criteria for a legal slide while trying to break up a double play, which is defined as making contact with the ground before reaching the base, being able to and attempting to reach the base with a hand or foot, being able to and attempting to remain on the base at the completion of the slide (except at home plate) and not changing his path for the purpose of initiating contact with a fielder."
2016,The American League started in 1901 and you can review every season in their history on our Year by Year baseball history menu.
2016,"Baseball Fever is the ultimate baseball talk forum for serious baseball fans, baseball historians, baseball authors, and hardcore baseball fanatics."
2016,"Where what happened yesterday
is being preserved today."
2017,"North Korea spent most of the year making international headlines with their nuclear missile tests. On February 3rd they fired a ballistic missile across the Sea of Japan, prompting world talks that continued throughout the year. By September 3rd, they had conducted their sixth, and most powerful, nuclear test."
2017,"On April 17, 2017, Patriots' Day, the Boston Red Sox wore home white jerseys with ""BOSTON"" written on the front to mark the four year anniversary of the Boston Marathon bombings. The uniform also sported the 2013 navy-blue circular patch with a white border on the left shoulder saying ""B Strong"" (with the red B in the classic font featured on the Red Sox's caps)."
