Statistic,Name,Team,stat_value,year,table_name
Base on Balls,Jose Bautista,Toronto,110.0,2015,2015 American League Player Review
Batting Average,Miguel Cabrera,Detroit,0.338,2015,2015 American League Player Review
Doubles,Michael Brantley,Cleveland,45.0,2015,2015 American League Player Review
Hits,Jose Altuve,Houston,200.0,2015,2015 American League Player Review
Home Runs,Chris Davis,Baltimore,47.0,2015,2015 American League Player Review
On Base Percentage,Miguel Cabrera,Detroit,0.44,2015,2015 American League Player Review
RBI,Josh Donaldson,Toronto,123.0,2015,2015 American League Player Review
Runs,Josh Donaldson,Toronto,122.0,2015,2015 American League Player Review
Slugging Average,Mike Trout,Los Angeles,0.59,2015,2015 American League Player Review
Stolen Bases,Jose Altuve,Houston,38.0,2015,2015 American League Player Review
Total Bases,Josh Donaldson,Toronto,352.0,2015,2015 American League Player Review
Triples,Eddie Rosario,Minnesota,15.0,2015,2015 American League Player Review
Base on Balls,Mike Trout,Los Angeles,116.0,2016,2016 American League Player Review
Batting Average,Jose Altuve,Houston,0.338,2016,2016 American League Player Review
Doubles,David Ortiz,Boston,48.0,2016,2016 American League Player Review
Hits,Jose Altuve,Houston,216.0,2016,2016 American League Player Review
Home Runs,Mark Trumbo,Baltimore,47.0,2016,2016 American League Player Review
On Base Percentage,Mike Trout,Los Angeles,0.441,2016,2016 American League Player Review
RBI,Edwin Encarnacion,Toronto,127.0,2016,2016 American League Player Review
Runs,Mike Trout,Los Angeles,123.0,2016,2016 American League Player Review
Slugging Average,David Ortiz,Boston,0.62,2016,2016 American League Player Review
Stolen Bases,Rajai Davis,Cleveland,43.0,2016,2016 American League Player Review
Total Bases,Mookie Betts,Boston,359.0,2016,2016 American League Player Review
Triples,Adam Eaton,Chicago,9.0,2016,2016 American League Player Review
Base on Balls,Aaron Judge,New York Yankees,127.0,2017,2017 American League Player Review
Batting Average,Jose Altuve,Houston Astros,0.346,2017,2017 American League Player Review
Doubles,Jose Ramirez,Cleveland Indians,56.0,2017,2017 American League Player Review
Hits,Jose Altuve,Houston Astros,204.0,2017,2017 American League Player Review
Home Runs,Aaron Judge,New York Yankees,52.0,2017,2017 American League Player Review
On Base Percentage,Mike Trout,Los Angeles Angels,0.442,2017,2017 American League Player Review
RBI,Nelson Cruz,Seattle Mariners,119.0,2017,2017 American League Player Review
Runs,Aaron Judge,New York Yankees,128.0,2017,2017 American League Player Review
Slugging Average,Mike Trout,Los Angeles Angels,0.629,2017,2017 American League Player Review
Stolen Bases,Whit Merrifield,Kansas City Royals,34.0,2017,2017 American League Player Review
Total Bases,Jose Abreu,Chicago White Sox,343.0,2017,2017 American League Player Review
Triples,Nick Castellanos,Detroit Tigers,10.0,2017,2017 American League Player Review
Base on Balls,Mike Trout,Los Angeles Angels,122.0,2018,2018 American League Player Review
Batting Average,Mookie Betts,Boston Red Sox,0.346,2018,2018 American League Player Review
Doubles,Alex Bregman,Houston Astros,50.0,2018,2018 American League Player Review
Hits,Whit Merrifield,Kansas City Royals,192.0,2018,2018 American League Player Review
Home Runs,Khris Davis,Oakland Athletics,48.0,2018,2018 American League Player Review
On Base Percentage,Mike Trout,Los Angeles Angels,0.46,2018,2018 American League Player Review
RBI,J.D. Martinez,Boston Red Sox,130.0,2018,2018 American League Player Review
Runs,Mookie Betts,Boston Red Sox,129.0,2018,2018 American League Player Review
Slugging Average,Mookie Betts,Boston Red Sox,0.64,2018,2018 American League Player Review
Stolen Bases,Whit Merrifield,Kansas City Royals,45.0,2018,2018 American League Player Review
Total Bases,J.D. Martinez,Boston Red Sox,358.0,2018,2018 American League Player Review
Triples,Yolmer Sanchez,Chicago White Sox,10.0,2018,2018 American League Player Review
Base on Balls,Alex Bregman,Houston Astros,119.0,2019,2019 American League Player Review
Batting Average,Tim Anderson,Chicago White Sox,0.335,2019,2019 American League Player Review
Doubles,Rafael Devers,Boston Red Sox,54.0,2019,2019 American League Player Review
Hits,Whit Merrifield,Kansas City Royals,206.0,2019,2019 American League Player Review
Home Runs,Jorge Soler,Kansas City Royals,48.0,2019,2019 American League Player Review
On Base Percentage,Mike Trout,Los Angeles Angels,0.438,2019,2019 American League Player Review
RBI,Jose Abreu,Chicago White Sox,123.0,2019,2019 American League Player Review
Runs,Mookie Betts,Boston Red Sox,135.0,2019,2019 American League Player Review
Slugging Average,Mike Trout,Los Angeles Angels,0.645,2019,2019 American League Player Review
Stolen Bases,Mallex Smith,Tampa Bay Rays,46.0,2019,2019 American League Player Review
Total Bases,Rafael Devers,Boston Red Sox,359.0,2019,2019 American League Player Review
Triples,Hunter Dozier,Kansas City Royals,10.0,2019,2019 American League Player Review
Base on Balls,Carlos Santana,Cleveland Indians,47.0,2020,2020 American League Player Review
Batting Average,DJ LeMahieu,New York Yankees,0.364,2020,2020 American League Player Review
Doubles,Cesar Hernandez,Cleveland Indians,20.0,2020,2020 American League Player Review
Hits,Jose Abreu,Chicago White Sox,76.0,2020,2020 American League Player Review
Home Runs,Luke Voit,New York Yankees,22.0,2020,2020 American League Player Review
On Base Percentage,DJ LeMahieu,New York Yankees,0.421,2020,2020 American League Player Review
RBI,Jose Abreu,Chicago White Sox,60.0,2020,2020 American League Player Review
Runs,Tim Anderson,Chicago White Sox,45.0,2020,2020 American League Player Review
Slugging Average,Jose Abreu,Chicago White Sox,0.617,2020,2020 American League Player Review
