Statistic,Name,Team,#,Top 25,year,table_name,East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll,Team | Roster,W,L,T
Base on Balls,Jose Bautista,Toronto,110,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Batting Average,Miguel Cabrera,Detroit,.338,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Doubles,Michael Brantley,Cleveland,45,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Hits,Jose Altuve,Houston,200,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Home Runs,Chris Davis,Baltimore,47,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
On Base Percentage,Miguel Cabrera,Detroit,.440,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
RBI,Josh Donaldson,Toronto,123,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Runs,Josh Donaldson,Toronto,122,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Slugging Average,Mike Trout,Los Angeles,.590,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Stolen Bases,Jose Altuve,Houston,38,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Total Bases,Josh Donaldson,Toronto,352,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Triples,Eddie Rosario,Minnesota,15,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2015,2015 American League Player Review,,,,,,,,,,,,
Complete Games,Mark Buehrle,Toronto,4,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Corey Kluber,Cleveland,,,,2015,2015 American League Pitcher Review,,,,,,,,,,,,
ERA,David Price,Detroit / Toronto,2.45,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Games,Kevin Jepsen,Tampa Bay / Minnesota,75,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Saves,Brad Boxberger,Tampa Bay,41,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Shutouts,Sonny Gray,Oakland,2,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Felix Hernandez,Seattle,,,,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Dallas Keuchel,Houston,,,,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Mike Montgomery,Seattle,,,,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Jeff Samardzija,Chicago,,,,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Strikeouts,Chris Sale,Chicago,274,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Winning Percentage,David Price,Detroit / Toronto,.783,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Wins,Dallas Keuchel,Houston,20,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2015,2015 American League Pitcher Review,,,,,,,,,,,,
,,,,,2015,2015 American League,Toronto Blue Jays,93,69,0,.574,--,,,,,,
,,,,,2015,2015 American League,New York Yankees,87,75,0,.537,6,,,,,,
,,,,,2015,2015 American League,Baltimore Orioles,81,81,0,.500,12,,,,,,
,,,,,2015,2015 American League,Tampa Bay Rays,80,82,0,.494,13,,,,,,
,,,,,2015,2015 American League,Boston Red Sox,78,84,0,.481,15,,,,,,
,,,,,2015,2015 American League,Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,,,,,
,,,,,2015,2015 American League,Kansas City Royals,95,67,0,.586,--,,,,,,
,,,,,2015,2015 American League,Minnesota Twins,83,79,0,.512,12,,,,,,
,,,,,2015,2015 American League,Cleveland Indians,81,80,0,.503,13½,,,,,,
,,,,,2015,2015 American League,Chicago White Sox,76,86,0,.469,19,,,,,,
,,,,,2015,2015 American League,Detroit Tigers,74,87,0,.460,20½,,,,,,
,,,,,2015,2015 American League,West,Team [Click for roster],Wins,Losses,Ties,WP,GB,,,,,
,,,,,2015,2015 American League,Texas Rangers,88,74,0,.543,--,,,,,,
,,,,,2015,2015 American League,Houston Astros,86,76,0,.531,2,,,,,,
,,,,,2015,2015 American League,Los Angeles Angels,85,77,0,.525,3,,,,,,
,,,,,2015,2015 American League,Seattle Mariners,76,86,0,.469,12,,,,,,
,,,,,2015,2015 American League,Oakland Athletics,68,94,0,.420,20,,,,,,
,,,,,2015,2015 American League,2015 American League Final Standings,,,,,,,,,,,
,,,,,2015,2015 American League,"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: N.L. Leaderboard | Rookies List",,,,,,,,,,,
Base on Balls,Mike Trout,Los Angeles,116,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Batting Average,Jose Altuve,Houston,.338,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Doubles,David Ortiz,Boston,48,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Hits,Jose Altuve,Houston,216,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Home Runs,Mark Trumbo,Baltimore,47,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
On Base Percentage,Mike Trout,Los Angeles,.441,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
RBI,Edwin Encarnacion,Toronto,127,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
David Ortiz,Boston,,,,2016,2016 American League Player Review,,,,,,,,,,,,
Runs,Mike Trout,Los Angeles,123,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Slugging Average,David Ortiz,Boston,.620,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Stolen Bases,Rajai Davis,Cleveland,43,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Total Bases,Mookie Betts,Boston,359,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Triples,Adam Eaton,Chicago,9,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Statistic,Name,Team,#,Top 25,2016,2016 American League Player Review,,,,,,,,,,,,
Complete Games,Chris Sale,Chicago,6,Top 25,2016,2016 American League Pitcher Review,,,,,,,,,,,,
